from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
ch:1:sloid:92773:0:43716,ch:1:sloid:92773:0:14018,2,120,,,,
ch:1:sloid:92773:0:14018,ch:1:sloid:92773:0:43716,2,120,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93138:0:552298,2,180,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93138:0:909127,2,180,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93138:0:349915,2,180,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93138:0:693151,2,300,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93174:0:436271,2,240,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93174:0:769140,2,240,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93167:0:307748,2,300,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93167:0:961201,2,300,,,,
ch:1:sloid:93138:0:883641,ch:1:sloid:93167:0:357210,2,360,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93138:0:883641,2,180,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93138:0:909127,2,300,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93138:0:349915,2,300,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93138:0:693151,2,180,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93174:0:436271,2,360,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93174:0:769140,2,360,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93167:0:307748,2,420,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93167:0:961201,2,420,,,,
ch:1:sloid:93138:0:552298,ch:1:sloid:93167:0:357210,2,480,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93138:0:883641,2,180,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93138:0:552298,2,300,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93138:0:349915,2,120,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93138:0:693151,2,420,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93174:0:436271,2,300,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93174:0:769140,2,300,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93167:0:307748,2,480,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93167:0:961201,2,480,,,,
ch:1:sloid:93138:0:909127,ch:1:sloid:93167:0:357210,2,540,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93138:0:883641,2,180,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93138:0:552298,2,300,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93138:0:909127,2,120,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93138:0:693151,2,420,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93174:0:436271,2,300,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93174:0:769140,2,300,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93167:0:307748,2,480,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93167:0:961201,2,480,,,,
ch:1:sloid:93138:0:349915,ch:1:sloid:93167:0:357210,2,540,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93138:0:883641,2,300,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93138:0:552298,2,180,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93138:0:909127,2,420,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93138:0:349915,2,420,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93174:0:436271,2,480,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93174:0:769140,2,480,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93167:0:307748,2,360,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93167:0:961201,2,360,,,,
ch:1:sloid:93138:0:693151,ch:1:sloid:93167:0:357210,2,420,,,,
ch:1:sloid:92965:0:538335,ch:1:sloid:92965:0:614471,2,120,,,,
ch:1:sloid:92965:0:614471,ch:1:sloid:92965:0:538335,2,120,,,,
ch:1:sloid:92774:0:667885,ch:1:sloid:92774:0:589451,2,120,,,,
ch:1:sloid:92774:0:589451,ch:1:sloid:92774:0:667885,2,120,,,,
ch:1:sloid:1401703:0:37234,ch:1:sloid:1401703:0:27183,2,120,,,,
ch:1:sloid:1401703:0:27183,ch:1:sloid:1401703:0:37234,2,120,,,,
ch:1:sloid:1401702:0:492334,ch:1:sloid:1401702:0:115743,2,120,,,,
ch:1:sloid:1401702:0:115743,ch:1:sloid:1401702:0:492334,2,120,,,,
ch:1:sloid:1401776:0:750419,ch:1:sloid:1401776:0:943465,2,120,,,,
ch:1:sloid:1401776:0:943465,ch:1:sloid:1401776:0:750419,2,120,,,,
ch:1:sloid:96098:0:74647,ch:1:sloid:96098:0:72858,2,120,,,,
ch:1:sloid:96098:0:74647,ch:1:sloid:92949:0:804505,2,360,,,,
ch:1:sloid:96098:0:74647,ch:1:sloid:92949:0:773525,2,360,,,,
ch:1:sloid:96098:0:72858,ch:1:sloid:96098:0:74647,2,120,,,,
ch:1:sloid:96098:0:72858,ch:1:sloid:92949:0:804505,2,360,,,,
ch:1:sloid:96098:0:72858,ch:1:sloid:92949:0:773525,2,360,,,,
ch:1:sloid:92775:0:533072,ch:1:sloid:92775:0:810006,2,120,,,,
ch:1:sloid:92775:0:533072,ch:1:sloid:92775:0:144182,2,120,,,,
ch:1:sloid:92775:0:533072,ch:1:sloid:92775:0:633396,2,120,,,,
ch:1:sloid:92775:0:533072,ch:1:sloid:92775:0:476705,2,180,,,,
ch:1:sloid:92775:0:533072,ch:1:sloid:92775:0:169103,2,120,,,,
ch:1:sloid:92775:0:533072,ch:1:sloid:92775:0:232924,2,180,,,,
ch:1:sloid:92775:0:810006,ch:1:sloid:92775:0:533072,2,120,,,,
