service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20241215,20251213
000002,0,0,0,0,0,0,0,20241215,20251213
000003,0,0,0,0,0,0,0,20241215,20251213
000004,0,0,0,0,0,0,0,20241215,20251213
000005,0,0,0,0,0,0,0,20241215,20251213
000006,0,0,0,0,0,0,0,20241215,20251213
000007,0,0,0,0,0,0,0,20241215,20251213
000008,0,0,0,0,0,0,0,20241215,20251213
000009,0,0,0,0,0,0,0,20241215,20251213
000010,0,0,0,0,0,0,0,20241215,20251213
000011,0,0,0,0,0,0,0,20241215,20251213
000012,0,0,0,0,0,0,0,20241215,20251213
000013,0,0,0,0,0,0,0,20241215,20251213
000014,0,0,0,0,0,0,0,20241215,20251213
000015,0,0,0,0,0,0,0,20241215,20251213
000016,0,0,0,0,0,0,0,20241215,20251213
000017,0,0,0,0,0,0,0,20241215,20251213
000018,0,0,0,0,0,0,0,20241215,20251213
000019,0,0,0,0,0,0,0,20241215,20251213
000020,0,0,0,0,0,0,0,20241215,20251213
000021,0,0,0,0,0,0,0,20241215,20251213
000022,0,0,0,0,0,0,0,20241215,20251213
000023,0,0,0,0,0,0,0,20241215,20251213
000024,0,0,0,0,0,0,0,20241215,20251213
000025,0,0,0,0,0,0,0,20241215,20251213
000026,0,0,0,0,0,0,0,20241215,20251213
000039,0,0,0,0,0,0,0,20241215,20251213
000040,0,0,0,0,0,0,0,20241215,20251213
000041,0,0,0,0,0,0,0,20241215,20251213
000042,0,0,0,0,0,0,0,20241215,20251213
000043,0,0,0,0,0,0,0,20241215,20251213
000000,0,0,0,0,0,0,0,20241215,20251213
