stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone_header
S0100001,,31 Décembre,,46.2016780,6.16193100,,,1,,,
0100001_M,,31 Décembre,,46.2016780,6.16193100,,,0,S0100001,M,
ch:1:sloid:92773:0:43716,,"Genève, 31-Décembre",,46.2016780,6.16193100,,,0,S0100001,,
S0100002,,31 Décembre,,46.2017810,6.16225300,,,1,,,
0100002_N,,31 Décembre,,46.2017810,6.16225300,,,0,S0100002,N,
ch:1:sloid:92773:0:14018,,"Genève, 31-Décembre",,46.2017810,6.16225300,,,0,S0100002,,
S0100003,,Avenue de l'Ain,,46.2059460,6.10989500,,,1,,,
0100003_C,,Avenue de l'Ain,,46.2059460,6.10989500,,,0,S0100003,C,
ch:1:sloid:93138:0:883641,,"Vernier, Avenue de l'Ain",,46.2059460,6.10989500,,,0,S0100003,,
S0100004,,Avenue de l'Ain,,46.2062360,6.11005700,,,1,,,
0100004_D,,Avenue de l'Ain,,46.2062360,6.11005700,,,0,S0100004,D,
ch:1:sloid:93138:0:552298,,"Vernier, Avenue de l'Ain",,46.2062360,6.11005700,,,0,S0100004,,
S0100005,,Avenue de l'Ain,,46.2078890,6.10909600,,,1,,,
0100005_B,,Avenue de l'Ain,,46.2078890,6.10909600,,,0,S0100005,B,
ch:1:sloid:93138:0:909127,,"Vernier, Avenue de l'Ain",,46.2078890,6.10909600,,,0,S0100005,,
S0100006,,Avenue de l'Ain,,46.2077460,6.10921600,,,1,,,
0100006_A,,Avenue de l'Ain,,46.2077460,6.10921600,,,0,S0100006,A,
ch:1:sloid:93138:0:349915,,"Vernier, Avenue de l'Ain",,46.2077460,6.10921600,,,0,S0100006,,
S0100007,,Avenue de l'Ain,,46.2057630,6.11196000,,,1,,,
0100007_E,,Avenue de l'Ain,,46.2057630,6.11196000,,,0,S0100007,E,
ch:1:sloid:93138:0:693151,,"Vernier, Avenue de l'Ain",,46.2057630,6.11196000,,,0,S0100007,,
S0100008,,L'Abbaye,,46.2222130,6.25144400,,,1,,,
0100008_A,,L'Abbaye,,46.2222130,6.25144400,,,0,S0100008,A,
